Value,Count
22-3747694,84
61-1306242,84
22-3932984,84
38-3365241,83
0000018203,82
38-2749215,82
0000024831,82
0000060847,82
1048900004,81
83-0345906,81
0000715018,80
0000210434,80
94-2479776,77
0000023966,77
0000000622,76
0000024299,76
0000012543,76
0001007846,75
0000057542,75
0000064515,74
0000006248,74
5556209999,73
0002354985,72
0000058261,71
0000431172,70
0000060024,70
0000058490,69
22-3626334,68
27-4588183,68
43-1918759,66
04-3568208,66
0000000151,65
75-2585326,65
27-0222046,65
0000005500,65
0000064029,64
0000018983,63
0000068409,61
0000005588,61
26-4771220,61
31-1712553,61
46-3689142,60
52-2304304,60
0000016249,60
0000068372,59
0000058069,59
0000022141,58
0000068503,57
7851800005,57
0000057033,57
0000067921,56
0000064546,56
0000066538,56
0000097093,55
0000000435,55
0000008854,54
0000033188,53
0000023030,53
52-2321476,52
46-1342618,52
0000024849,52
0000024080,51
0000066788,51
0000015219,51
0000064552,50
0000280110,49
44-0607186,49
1222400008,49
27-0812934,48
0000001074,48
0000034010,47
0000068601,46
0000062715,46
0000024716,46
26-4461592,45
0000068356,45
54-1094297,45
0000705801,45
0000014838,44
0000006328,44
0000057966,44
27-2230064,43
0000014542,43
33-0828099,43
27-2056826,43
0000592448,43
91-2094220,42
0000777366,40
0000491224,40
0000032296,39
11-3198028,39
0002771694,38
38-1620418,38
0000021751,38
3028209994,38
45-2107596,38
02-0594137,38
11-3469077,37
82-1456336,37
0000008796,37
0001864197,36
75-2945170,36
11-3217224,36
03-0488052,36
0000011944,36
0000058828,35
0000058728,35
0000065059,34
0000064893,34
0000023880,33
0000748665,33
0000060363,33
20-5973457,32
0000022444,32
0000097071,32
0000057607,32
0000066357,32
95-4196389,31
0000026271,31
0000003830,30
81-2156653,30
0000014723,30
0000706081,30
0000008230,29
0000064766,29
0000024920,29
0001842065,29
35-2352369,28
0000007817,27
20-2715422,27
76-0762186,27
0000068507,27
0004004574,27
83-0446200,27
0000082170,26
0000706896,26
0000013131,26
68-0570826,26
0000064531,26
0000006288,26
0000001909,26
0000659855,26
0000112819,25
27-3064521,25
11-3399725,25
61-1763484,25
22-3603829,24
0000022545,24
0000024110,23
20-5741925,23
0000004968,23
86-0716784,23
20-4224234,23
22-3665409,22
75-1794257,22
20-2718340,22
26-0084919,22
0000020504,22
0000031286,21
0000064834,21
0000017548,21
26-2916887,21
0000398350,21
0000005582,20
41-1956286,20
0000005530,20
13-3670961,19
0000057777,19
1252000009,19
20-3388468,19
0000010790,19
0000007770,19
0000773247,19
0000207872,19
0000007557,19
0004728786,18
0000022157,18
0000005754,18
20-0353048,18
0000057585,18
1004900001,18
0000000594,18
0000008797,18
31-1690008,18
0000005851,18
0000015317,17
0000016954,17
0000702889,17
0000060238,17
0000004900,17
59-3378746,17
0000542649,17
0000062665,17
0000013495,16
13-3602661,16
0000068215,16
0000012219,16
0000023279,16
0000707674,16
0003635533,16
0000016030,15
41-2261870,15
0000068463,15
0000068660,15
0000067664,15
0000063799,15
0000708039,15
47-0833531,15
16-1313078,15
26-4558390,14
0000011099,14
0000011005,13
11-3714032,13
93-1248952,13
0000019739,13
0000004633,13
0000028513,13
20-2408098,13
0000003130,12
0000596848,12
20-2485875,12
41-2181683,12
0000022769,12
0000068536,12
0000003526,12
0000004735,12
26-2195788,12
0000936855,11
0000014830,11
1519700008,11
0000020448,11
0000005484,11
93-1231049,11
0000009607,11
0000708186,11
0000068598,11
51-0488301,10
11-3468642,10
0000032974,10
1097500000,10
0000024753,10
0000485559,10
0000000619,10
0000057249,10
0000014251,10
0000068483,10
0000004533,10
75-2269700,10
0000003140,10
0000065323,10
20-2749403,9
87-0788512,9
26-0423240,9
0000013394,9
0000000857,9
0000068505,9
0000063440,9
0000722777,9
0000019307,9
20-4514405,9
0000023627,9
11-2637419,9
0000233031,9
0000021502,9
0000060408,9
0002652092,9
46-4215283,9
0000009007,8
0000024497,8
0000008680,8
02-0640271,8
41-1592297,8
0000063832,8
0000017308,8
0000001281,8
0000700709,8
0000019628,8
1047300008,8
0000027280,8
0000027237,7
0000032647,7
0000058401,7
94-3159818,7
0003374412,7
0000057633,7
52-2102740,7
0000601050,7
13-5581829,7
93-1301081,7
0000068654,6
0000011953,6
0000018558,6
0000012773,6
0000024719,6
0000022458,6
0000808176,6
38-3616059,6
0000033708,6
0000013622,6
36-4771976,6
0000015358,6
0000028316,5
0000019690,5
16-1779015,5
0000006912,5
0000058556,5
0002925666,5
39-0989781,5
0000024034,5
0000057620,5
13-4127143,5
0000013790,5
0002895152,5
0000015592,5
0000058234,5
0000015977,5
0000008187,5
0000005750,5
88-0505956,5
0000012969,5
30-0382471,5
0000718063,5
0000004239,5
0000024516,5
0000018273,5
0000717935,5
86-1092244,4
0000068663,4
0000015572,4
0000034401,4
0000016892,4
0000064970,4
0000028151,4
0000002311,4
0000017587,4
37-1572886,4
0000011734,4
0000006694,4
0000004742,4
0000657459,4
0000229801,4
04-3243815,4
0000029058,4
91-2006136,4
0000685676,4
0000001682,4
0000003121,4
26-4803398,4
0000933975,4
0000016410,3
0000554857,3
0000012072,3
0000062574,3
0000016402,3
0000012383,3
0000637451,3
0000012517,3
0000214807,3
0000068375,3
0000018242,3
0000033826,3
0000015292,3
0000066328,3
86-0619371,3
0000004365,3
52-1075143,3
0000701330,3
0000034685,3
0000423458,3
0000000319,3
0000058705,3
0000026403,3
27-3049738,3
0000057451,3
0000606046,3
0003351440,3
0000010699,3
63-1246790,3
0000000162,3
45-3143795,3
43-0951349,3
0000497404,3
38-3024363,3
0000006665,3
0000700108,3
0000527954,3
0000063194,2
0000067625,2
0000700416,2
0000024755,2
0000068613,2
0000068669,2
0003415463,2
0000024430,2
0000003076,2
80-0803847,2
61-1355156,2
0000024029,2
0000664756,2
52-0419790,2
03-0527286,2
0000017828,2
0000126553,2
0000003657,2
