Value,Count
5.1,511.0
307.06,510.0
31.13,510.0
5045.05,510.0
9.08,510.0
435.04,510.0
3551.16,509.0
70.18,509.0
101.01,509.0
200.2,508.0
3040.01,508.0
210.35,508.0
51.22,507.0
60.07,506.0
168.07,505.0
20.33,504.0
1538.01,504.0
5025.0,504.0
32.03,503.0
190.01,502.0
41.04,502.0
9203.39,502.0
93.1,502.0
30.04,501.0
5045.04,501.0
101.0,501.0
8001.02,501.0
116.02,501.0
9201.18,501.0
100.12,500.0
1524.0,500.0
112.01,500.0
427.42,500.0
100.18,500.0
5039.02,500.0
464.03,500.0
54.06,500.0
1526.0,499.0
427.32,499.0
430.1,499.0
426.17,499.0
2529.14,499.0
2529.04,499.0
438.2,498.0
93.17,498.0
1.09,498.0
307.1,498.0
117.01,498.0
5019.0,498.0
208.05,497.0
1101.0,497.0
99.05,497.0
427.09,497.0
310.0,495.0
9201.07,495.0
456.08,495.0
3630.0,495.0
29.04,494.0
9200.35,494.0
4079.0,493.0
55.02,493.0
100.24,493.0
5776.03,493.0
42.03,493.0
435.06,493.0
97.09,492.0
20.37,492.0
524.28,491.0
9102.07,490.0
3452.02,490.0
5037.03,489.0
58.04,488.0
438.09,488.0
5123.08,488.0
63.02,487.0
25.04,486.0
75.06,486.0
76.01,486.0
5033.34,485.0
4036.0,485.0
452.14,485.0
40.04,485.0
3200.04,484.0
121.02,484.0
5433.22,484.0
4306.0,482.0
63.0,482.0
4512.01,481.0
127.04,481.0
1533.0,480.0
15.06,479.0
104.11,479.0
85.13,478.0
193.02,478.0
191.03,478.0
4081.0,478.0
422.14,478.0
4301.01,478.0
483.0,477.0
432.78,477.0
2534.02,477.0
72.0,477.0
104.02,477.0
220.02,476.0
151.0,475.0
14.14,475.0
193.01,475.0
430.08,474.0
219.2,474.0
306.03,473.0
9200.42,473.0
56.06,473.0
36.04,473.0
23.03,473.0
5436.02,473.0
75.07,473.0
100.23,472.0
3462.04,472.0
320.57,472.0
3592.03,471.0
